label,dataset,model,strategy,synchronizer,store,nodes,workers,servers,batch_size_per_worker,effective_global_batch,final_loss,test_accuracy,total_time_sec,samples_per_sec,switched
D_ar_large,fashion_mnist,mlp_large,all_reduce,,,3,3,0,64,192,0.04600613847043553,,63.11727056198288,7604.891588723358,
D_ps_large,fashion_mnist,mlp_large,parameter_server,barrier,blocking,5,3,2,64,192,0.04626103678273424,,68.54883020900888,7002.307676680339,
D_ar_medium,fashion_mnist,mlp_medium,all_reduce,,,3,3,0,64,192,0.04744614258861415,,18.589099756034557,25821.583955090573,
D_ps_medium,fashion_mnist,mlp_medium,parameter_server,barrier,blocking,5,3,2,64,192,0.04733005390338647,,21.644392895977944,22176.644191724856,
D_ar_small,fashion_mnist,mlp_small,all_reduce,,,3,3,0,64,192,0.05230506278070248,,2.1201676790369675,226397.1877064119,
D_ps_small,fashion_mnist,mlp_small,parameter_server,barrier,blocking,5,3,2,64,192,0.05235084981801474,,2.6862404720159248,178688.3955477663,
Bg_ar_fashion_n3,fashion_mnist,nielsen,all_reduce,,,3,3,0,10,30,0.03165854249280533,0.8727999925613403,210.93219376297202,8533.54799894932,
Bp_ar_n3,fashion_mnist,nielsen,all_reduce,,,3,3,0,64,192,0.06092520151214869,,49.065403904998675,9782.86046374722,
Bg_ar_fashion_n5,fashion_mnist,nielsen,all_reduce,,,5,5,0,10,50,0.03628846133265905,0.862500011920929,248.06977773597464,7256.022948171357,
Bp_ar_n5,fashion_mnist,nielsen,all_reduce,,,5,5,0,64,320,0.07056409900765584,,50.98980898299487,9413.645776944963,
Bg_ps_fashion_n3,fashion_mnist,nielsen,parameter_server,barrier,blocking,5,3,2,10,30,0.03151110438795563,0.8758000135421753,257.6081819089595,6987.355706877867,
Bp_ps_n3,fashion_mnist,nielsen,parameter_server,barrier,blocking,5,3,2,64,192,0.06208388727471101,,54.54958061198704,8799.334378283414,
Bg_ps_fashion_n5,fashion_mnist,nielsen,parameter_server,barrier,blocking,7,5,2,10,50,0.03633453072941834,0.8648999929428101,272.52892657305347,6604.803470348298,
Bp_ps_n5,fashion_mnist,nielsen,parameter_server,barrier,blocking,7,5,2,64,320,0.07163437573094618,,50.38693169300677,9526.279610048561,
A_ar_mnist,mnist,nielsen,all_reduce,,,3,3,0,10,30,0.006752146254563853,0.9782000184059143,224.16134942602366,8029.930247158977,
Bg_ar_mnist_n3,mnist,nielsen,all_reduce,,,3,3,0,10,30,0.006752146254563853,0.9782000184059143,213.80389922403265,8418.929713315869,
Bg_ar_mnist_n5,mnist,nielsen,all_reduce,,,5,5,0,10,50,0.01033058679538417,0.9700000286102295,253.37981641100487,7103.95968193551,
A_baseline_mnist,mnist,nielsen,baseline,,,1,1,0,10,10,0.0005421305508146474,0.9889000058174133,158.4507366300095,11359.997676773768,
A_ps_mnist,mnist,nielsen,parameter_server,barrier,blocking,5,3,2,10,30,0.0075148908974423225,0.9761999845504761,243.62667875399347,7388.3533987572155,
Bg_ps_mnist_n3,mnist,nielsen,parameter_server,barrier,blocking,5,3,2,10,30,0.0075148908974423225,0.9761999845504761,251.54248174501117,7155.8489345933285,
Bg_ps_mnist_n5,mnist,nielsen,parameter_server,barrier,blocking,7,5,2,10,50,0.01107915980814146,0.9674999713897705,269.13428723003017,6688.111048673381,
