dataset,model,strategy,nodes,test_accuracy,epochs_to_converge,time_to_converge_sec,total_time_sec
mnist,nielsen,all_reduce,3,0.9782000184059143,28,209.22,224.16134942602366
mnist,nielsen,parameter_server,5,0.9761999845504761,28,227.38,243.62667875399347
mnist,nielsen,baseline,1,0.9889000058174133,29,153.17,158.4507366300095
fashion_mnist,nielsen,all_reduce,3,0.8727999925613403,22,154.68,210.93219376297202
mnist,nielsen,all_reduce,3,0.9782000184059143,28,199.55,213.80389922403265
fashion_mnist,nielsen,parameter_server,5,0.8758000135421753,22,188.91,257.6081819089595
fashion_mnist,nielsen,all_reduce,5,0.862500011920929,21,173.65,248.06977773597464
mnist,nielsen,parameter_server,5,0.9761999845504761,28,234.77,251.54248174501117
mnist,nielsen,all_reduce,5,0.9700000286102295,27,228.04,253.37981641100487
fashion_mnist,nielsen,parameter_server,7,0.8648999929428101,21,190.77,272.52892657305347
mnist,nielsen,parameter_server,7,0.9674999713897705,27,242.22,269.13428723003017
fashion_mnist,nielsen,all_reduce,3,,6,36.8,49.065403904998675
fashion_mnist,nielsen,all_reduce,5,,7,44.62,50.98980898299487
fashion_mnist,nielsen,parameter_server,5,,6,40.91,54.54958061198704
fashion_mnist,nielsen,parameter_server,7,,7,44.09,50.38693169300677
fashion_mnist,mlp_small,all_reduce,3,,6,1.59,2.1201676790369675
fashion_mnist,mlp_medium,all_reduce,3,,6,13.94,18.589099756034557
fashion_mnist,mlp_large,all_reduce,3,,5,39.45,63.11727056198288
fashion_mnist,mlp_small,parameter_server,5,,6,2.01,2.6862404720159248
fashion_mnist,mlp_medium,parameter_server,5,,6,16.23,21.644392895977944
fashion_mnist,mlp_large,parameter_server,5,,6,51.41,68.54883020900888
